2018-02-06 18:53:55,406 [10] INFO  BaseLog [(null)] - 此处图片[https://mmbiz.qpic.cn/mmbiz_jpg/vdBnaTRWOjniad7ZNTBASicw2EoyicbaibrRGWLRy3qqBrDjXNUVHpEONtTYrym4eiaTJbhYt0gy7LuWSBumiaXS6lZw/640?wx_fmt=jpeg]中有二维码，需要移除,文章ID为：223189
2018-02-06 18:53:55,643 [10] INFO  BaseLog [(null)] - 此处图片[https://mmbiz.qpic.cn/mmbiz_gif/R3v8n8TKnE3m6qtt9ruC7tROWiaOcRqqWj7sRtqNaOZLnReanGhdQgeAOh8FoZibsNwg30cbXCgibYS3oLfLStC7w/640?wx_fmt=gif]中高度小于175，实际高度为103，需要移除,文章ID为：223189
2018-02-06 18:54:02,763 [10] INFO  BaseLog [(null)] - 此处图片[https://mmbiz.qpic.cn/mmbiz_png/CF4zKnlBoP9xIGAS2ECpKnlCpa5Y0Bmpuia4wh2cpibEqicGHbl0z6jQTgIA7HXohsUF0Q8iaxfHSSTaz20xlRYkicg/640?wx_fmt=png]中高度小于175，实际高度为129，需要移除,文章ID为：223189
2018-02-06 18:54:03,042 [10] INFO  BaseLog [(null)] - 此处图片[https://mmbiz.qpic.cn/mmbiz/zsBVjHfr31Q0qDzSW0RHyicZUUYONQvsCZN4I6Com92hur8vnjRRNIjSMgQdxLeX9wicbDbiasL499AqFbp3icW83g/640?wx_fmt=gif]中高度小于175，实际高度为161，需要移除,文章ID为：223189
2018-02-06 18:54:03,261 [10] INFO  BaseLog [(null)] - 此处图片[https://mmbiz.qpic.cn/mmbiz/zsBVjHfr31Q0qDzSW0RHyicZUUYONQvsCHgnDls4V2Qt3Aeh6zebFtQfKpJJrBGVwMmhoEUNrQBmMcMqXicBFc8A/640?wx_fmt=gif]中高度小于175，实际高度为159，需要移除,文章ID为：223189
2018-02-06 18:58:24,353 [10] INFO  BaseLog [(null)] - 此处图片[https://mmbiz.qpic.cn/mmbiz_jpg/vdBnaTRWOjlOR4MfBtWicwicVRjuLe1zu55xBaauJnWYLFn5GPH77Y76uBiaNibsnVLFkGjbCeXvcZiaEFOfhG0bPuQ/640?wx_fmt=jpeg]中高度小于175，实际高度为140，需要移除,文章ID为：223189
2018-02-06 18:58:24,367 [10] INFO  BaseLog [(null)] - 此处图片[https://mmbiz.qpic.cn/mmbiz_jpg/vdBnaTRWOjniad7ZNTBASicw2EoyicbaibrR7YspFE2n9dtrsOyiarMWY2v0CDfBGXyOfkkefwTSaK6HqDG5ItffZ1A/640?wx_fmt=jpeg]中高度小于175，实际高度为140，需要移除,文章ID为：223189
2018-02-06 18:58:24,390 [10] INFO  BaseLog [(null)] - 此处图片[https://mmbiz.qpic.cn/mmbiz_png/vdBnaTRWOjnfSyz3eiazLD26ArFA2hTHYsCunfk5YgFhsCxrmeEmpO9ZNo0BBpOP3175Y95Vu2Pkt3hhnrwsjag/640?wx_fmt=png]中高度小于175，实际高度为140，需要移除,文章ID为：223189
2018-02-06 18:58:24,465 [10] INFO  BaseLog [(null)] - 此处图片[https://mmbiz.qpic.cn/mmbiz_png/vdBnaTRWOjnfSyz3eiazLD26ArFA2hTHYTluTbjgr8hSic31JBoViaSwYOSIJIEhM78qXmWtAjbTB2jpOOFnmzouQ/640?wx_fmt=png]中高度小于175，实际高度为140，需要移除,文章ID为：223189
2018-02-06 18:58:24,484 [10] INFO  BaseLog [(null)] - 此处图片[https://mmbiz.qpic.cn/mmbiz_png/vdBnaTRWOjm3agJEh6Vz7q801fObVJib6ArtYwjFDYv6LhMHujSDfU44aFE7BjKKiaMjUicFzGtvmml7VMucZaMXQ/640?wx_fmt=png]中高度小于175，实际高度为140，需要移除,文章ID为：223189
